1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,318,53,8.640987598,1,Medium Slow,1059860,0,45,0,0,0,0,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0.7,6.9,14.1
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,405,67.5,8.902246907,1,Medium Slow,1059860,0,45,0,0,0,0,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,1,13,13
3,Venusaur,Grass,Poison,80,82,83,100,100,80,525,87.5,8.902246907,1,Medium Slow,1059860,1,45,0,0,0,0,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,2,100,25
3,Mega Venusaur,Grass,Poison,80,100,123,122,120,80,625,104.1666667,18.74759244,6,Medium Slow,1059860,1,45,0,1,0,0,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,2.4,155.5,27
4,Charmander,Fire,,39,52,43,60,50,65,309,51.5,8.995369179,1,Medium Slow,1059860,0,45,0,0,0,0,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.6,8.5,23.6
5,Charmeleon,Fire,,58,64,58,80,65,80,405,67.5,9.233092656,1,Medium Slow,1059860,0,45,0,0,0,0,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,1.1,19,15.7
6,Charizard,Fire,Flying,78,84,78,109,85,100,534,89,11.5758369,1,Medium Slow,1059860,1,45,0,0,0,0,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,1.7,90.5,31.3
6,Mega Charizard Y,Fire,Flying,78,104,78,159,115,100,634,105.6666667,27.37801226,6,Medium Slow,1059860,1,45,0,1,0,0,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,1.7,100.5,34.8
6,Mega Charizard X,Fire,Dragon,78,130,111,130,85,100,634,105.6666667,20.15495528,6,Medium Slow,1059860,1,45,0,1,0,0,1,0.25,1,0.5,0.25,1,1,1,2,1,1,0.5,2,1,2,1,0.5,1,1.7,110.5,38.2
7,Squirtle,Water,,44,48,65,50,64,43,314,52.33333333,8.919392107,1,Medium Slow,1059860,0,45,0,0,0,0,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,9,36
